"filename", "language", "JSON", "C++", "YAML", "Markdown", "XML", "Swift", "Dart", "HTML", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Video.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\bell-1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\bell.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\chat.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\clock.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\dropdown.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\family.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\finance.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\food.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\gear.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\home.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\print.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\sent.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\student.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
